,precision,recall,f1-score,support
AMD,0.9542857142857143,0.9027027027027027,0.9277777777777778,185.0
DME,0.5652173913043478,0.7647058823529411,0.65,17.0
ERM,0.71875,0.5609756097560976,0.6301369863013698,41.0
NO,0.6376811594202898,0.9361702127659575,0.7586206896551724,47.0
RAO,1.0,0.14285714285714285,0.25,7.0
RVO,0.6666666666666666,0.4,0.5,10.0
VID,0.0,0.0,0.0,7.0
accuracy,0.802547770700637,0.802547770700637,0.802547770700637,0.802547770700637
macro avg,0.6489429902395741,0.5296302214906917,0.53093363624776,314.0
weighted avg,0.8256623692816921,0.802547770700637,0.7991391010861089,314.0
