model,fold,accuracy,balanced_accuracy,macro_f1,weighted_f1
Best baseline (Improved CNN),1,0.7150537634408602,0.5684025500702399,0.5327792356347775,0.7358680384087621
Best baseline (Improved CNN),2,0.7894736842105263,0.7112672250695727,0.5683363845372641,0.8031129835512317
Best baseline (Improved CNN),3,0.8121387283236994,0.7169804391290567,0.6452713560024881,0.8160196098435684
Best baseline (Improved CNN),4,0.7581120943952803,0.6109136929625653,0.5542933202915775,0.7653425539407875
Best baseline (Improved CNN),5,0.8530927835051546,0.7769046894288925,0.7867289200817889,0.8519415965831947
Final GNN,1,0.782258064516129,0.6018389131212073,0.580340382696646,0.7854937517907858
Final GNN,2,0.8289473684210527,0.6336401343141999,0.6562760286166048,0.8182095535621057
Final GNN,3,0.661849710982659,0.570303928022822,0.5349941233492232,0.6780337006831335
Final GNN,4,0.8259587020648967,0.689755514779011,0.7065214051393769,0.8259238958590825
Final GNN,5,0.7577319587628866,0.6245390533751506,0.6186482075663527,0.7540438291576647
